Name,Date,Time,Item,Item_Description,Packed,Quantity,Sold,UnitPrice,Profit
Isaiah's Pan Shop,2025-07-31,20:34:25,Chips,International,Yes,30,19,41.38,302.35
Ridhi's Pan Shop,2025-07-26,12:08:13,Match Boxes,Local,No,40,34,25.21,111.48
Wishi's Pan Shop,2025-07-20,03:39:48,Soanpapdi,Local,No,15,10,46.43,90.43
Leena's Pan Shop,2025-07-11,17:21:32,Chewing Gum,Domestic,Yes,93,65,36.05,812.94
Nandini's Pan Shop,2025-07-28,21:13:11,Match Boxes,Local,No,14,5,36.63,65.43
Onveer's Pan Shop,2025-07-30,03:04:05,Match Boxes,Local,No,43,42,6.7,32.53
Harini's Pan Shop,2025-08-06,17:15:21,Peanuts,Local,No,15,10,56.35,121.04
Upkaar's Pan Shop,2025-07-27,00:41:01,Sweets,Local,No,8,6,53.29,59.99
Zilmil's Pan Shop,2025-07-11,12:02:03,Mysorepak,Local,No,14,9,51.14,66.53
Faras's Pan Shop,2025-07-26,08:56:45,Sweets,Local,No,59,10,24.01,88.35
Madhavi's Pan Shop,2025-08-03,14:24:21,Chips,International,Yes,33,14,51.0,101.57
Avni's Pan Shop,2025-08-01,04:45:19,Jelly,Local,No,81,9,21.64,40.22
Janya's Pan Shop,2025-08-05,13:18:38,Mysorepak,Local,No,42,12,30.31,73.99
Damyanti's Pan Shop,2025-07-17,03:16:06,Chewing Gum,Domestic,Yes,60,11,17.36,49.01
Tanmayi's Pan Shop,2025-07-18,20:19:27,Cigarettes,International,Yes,72,12,21.95,62.35
Dalbir's Pan Shop,2025-07-17,19:14:56,Lighters,Local,Yes,87,80,46.34,1409.99
Amara's Pan Shop,2025-07-27,22:06:20,Soda,International,Yes,48,30,18.82,169.73
Daksha's Pan Shop,2025-07-16,13:07:04,Soanpapdi,Local,No,77,71,23.53,510.57
Joshua's Pan Shop,2025-07-23,09:47:00,Mysorepak,Local,No,90,55,4.29,59.35
Sanya's Pan Shop,2025-07-19,21:25:08,Chewing Gum,International,Yes,86,62,3.82,27.49
Harish's Pan Shop,2025-07-29,12:16:21,Cigarettes,International,Yes,13,5,20.33,39.73
Balhaar's Pan Shop,2025-08-09,00:24:55,Match Boxes,Local,No,61,6,6.13,5.08
Faras's Pan Shop,2025-07-14,22:31:39,Mysorepak,Local,No,25,2,24.74,8.64
Frederick's Pan Shop,2025-07-20,08:01:20,Peanuts,Local,No,58,6,20.6,42.32
Harish's Pan Shop,2025-07-23,14:55:02,Biscuits,Domestic,Yes,40,38,13.73,58.86
Qabil's Pan Shop,2025-07-24,13:01:41,Soanpapdi,Local,No,43,19,50.26,184.88
Yamini's Pan Shop,2025-08-08,21:13:15,Soda,International,Yes,29,29,24.27,79.67
Abdul's Pan Shop,2025-07-23,19:54:23,Cigarettes,International,Yes,64,43,16.4,111.42
Aradhana's Pan Shop,2025-07-24,03:33:36,Cigarettes,International,Yes,38,17,30.9,58.59
Jagat's Pan Shop,2025-08-09,04:15:01,Lighters,Local,Yes,55,27,55.69,430.39
Jeevika's Pan Shop,2025-08-03,05:12:49,Match Boxes,Local,No,12,1,13.0,1.76
Samesh's Pan Shop,2025-07-28,17:03:19,Mysorepak,Local,No,17,17,18.28,46.37
Maanas's Pan Shop,2025-07-24,13:33:49,Lighters,Local,Yes,13,13,6.61,17.84
Robert's Pan Shop,2025-08-09,15:16:02,Match Boxes,Local,No,69,12,33.32,129.04
Faqid's Pan Shop,2025-07-22,10:38:39,Soda,Domestic,Yes,58,55,39.85,227.89
Raagini's Pan Shop,2025-07-22,20:39:47,Soda,Domestic,Yes,42,36,19.65,147.04
Jason's Pan Shop,2025-08-09,09:12:15,Sweets,Local,No,74,47,15.82,99.49
Baghyawati's Pan Shop,2025-07-25,04:26:59,Lighters,Local,Yes,80,72,58.71,1014.49
Vrinda's Pan Shop,2025-08-08,17:54:09,Soda,Domestic,Yes,37,12,8.78,31.87
Nathaniel's Pan Shop,2025-07-28,07:38:22,Match Boxes,Local,No,15,4,56.28,45.03
Bhavna's Pan Shop,2025-07-20,21:11:54,Lighters,Local,Yes,94,92,53.96,748.0
Noah's Pan Shop,2025-07-31,11:04:10,Cigarettes,Domestic,Yes,33,30,8.48,35.54
Bhavna's Pan Shop,2025-08-01,23:58:54,Chocolates,International,Yes,23,11,56.13,76.43
Faqid's Pan Shop,2025-07-12,06:30:39,Jelly,Local,No,86,45,43.48,750.87
Raagini's Pan Shop,2025-08-02,02:25:11,Match Boxes,Local,No,9,4,58.28,66.2
Maanas's Pan Shop,2025-07-12,21:37:55,Biscuits,International,Yes,35,33,38.18,169.77
Sneha's Pan Shop,2025-07-23,17:47:22,Drinks,Domestic,Yes,86,20,27.69,203.49
Yagnesh's Pan Shop,2025-07-31,06:02:51,Biscuits,International,Yes,48,33,30.14,327.67
Abdul's Pan Shop,2025-07-19,05:42:01,Match Boxes,Local,No,66,62,17.86,160.18
Onkar's Pan Shop,2025-07-20,17:55:08,Chips,International,Yes,40,38,37.13,339.58
Raagini's Pan Shop,2025-07-17,21:39:21,Soda,Domestic,Yes,86,71,53.95,1391.77
Triveni's Pan Shop,2025-07-21,16:36:04,Peanuts,Local,No,93,20,35.66,234.11
Dipta's Pan Shop,2025-07-27,14:48:26,Biscuits,Domestic,Yes,36,16,22.08,98.33
Aashi's Pan Shop,2025-07-31,12:21:51,Chocolates,Domestic,Yes,32,28,33.47,266.74
Amara's Pan Shop,2025-07-28,21:27:24,Chips,Domestic,Yes,41,3,27.93,21.82
Robert's Pan Shop,2025-08-05,21:59:29,Match Boxes,Local,No,69,8,42.7,61.8
Samar's Pan Shop,2025-08-09,22:04:15,Lighters,Local,Yes,45,38,40.68,504.09
Harish's Pan Shop,2025-07-24,03:36:24,Biscuits,International,Yes,85,5,28.49,37.03
Nathaniel's Pan Shop,2025-07-22,16:46:11,Mysorepak,Local,No,95,82,50.39,1440.91
Ekalinga's Pan Shop,2025-07-29,23:04:15,Soda,Domestic,Yes,39,21,19.94,161.01
Lakshmi's Pan Shop,2025-08-06,16:06:47,Chips,Domestic,Yes,76,32,42.34,254.78
Vyanjana's Pan Shop,2025-08-04,02:19:03,Peanuts,Local,No,77,1,25.84,5.35
Faras's Pan Shop,2025-08-08,07:53:27,Soanpapdi,Local,No,8,4,34.75,42.2
William's Pan Shop,2025-07-28,12:12:19,Peanuts,Local,No,55,48,55.58,405.28
Edhitha's Pan Shop,2025-07-28,06:36:16,Sweets,Local,No,76,62,11.06,249.98
Ojasvi's Pan Shop,2025-07-30,00:56:32,Sweets,Local,No,64,25,14.51,79.82
Ekanta's Pan Shop,2025-08-06,00:33:17,Soanpapdi,Local,No,15,4,25.97,13.05
Upma's Pan Shop,2025-07-19,00:38:10,Mysorepak,Local,No,8,2,52.31,19.78
Leela's Pan Shop,2025-07-19,21:47:47,Match Boxes,Local,No,44,10,26.02,77.78
Kashish's Pan Shop,2025-07-14,10:20:36,Soda,Domestic,Yes,17,10,53.81,73.01
Faras's Pan Shop,2025-07-20,06:03:20,Soda,Domestic,Yes,18,3,25.63,22.92
Charita's Pan Shop,2025-08-09,23:06:21,Lighters,Local,Yes,91,11,18.73,27.32
Jason's Pan Shop,2025-07-30,22:21:49,Cigarettes,Domestic,Yes,70,56,20.11,246.67
Anamika's Pan Shop,2025-08-03,07:56:34,Match Boxes,Local,No,38,18,43.31,294.84
Joshua's Pan Shop,2025-07-11,10:00:37,Mysorepak,Local,No,84,4,28.24,25.66
Ekbal's Pan Shop,2025-07-26,04:47:31,Soda,International,Yes,20,9,28.51,36.21
Zehaan's Pan Shop,2025-07-24,09:58:57,Jelly,Local,No,37,3,11.9,12.63
Max's Pan Shop,2025-08-07,01:13:37,Soanpapdi,Local,No,18,16,28.73,112.38
Urvashi's Pan Shop,2025-07-20,03:36:35,Drinks,International,Yes,72,32,11.52,58.29
Gaurav's Pan Shop,2025-07-17,22:59:11,Peanuts,Local,No,5,2,51.99,35.35
Tanvi's Pan Shop,2025-08-02,05:24:30,Drinks,Domestic,Yes,43,12,22.84,101.65
Orinder's Pan Shop,2025-08-09,10:53:21,Biscuits,Domestic,Yes,50,8,50.13,124.53
Faras's Pan Shop,2025-07-18,14:02:11,Lighters,Local,Yes,61,29,3.9,27.2
Yashica's Pan Shop,2025-08-01,06:15:43,Biscuits,Domestic,Yes,81,41,20.94,165.3
Jackson's Pan Shop,2025-07-27,09:36:53,Peanuts,Local,No,98,48,34.43,538.22
Naveen's Pan Shop,2025-07-18,13:09:46,Soda,Domestic,Yes,73,16,54.79,113.51
Saksham's Pan Shop,2025-08-01,05:38:50,Mysorepak,Local,No,55,26,8.39,35.2
Agastya's Pan Shop,2025-08-07,00:08:09,Jelly,Local,No,72,31,22.64,88.2
Tamanna's Pan Shop,2025-07-13,00:33:59,Mysorepak,Local,No,24,12,29.82,120.5
Warhi's Pan Shop,2025-08-06,05:32:09,Mysorepak,Local,No,36,14,15.93,27.84
Ayushman's Pan Shop,2025-07-24,00:33:26,Chips,Domestic,Yes,82,23,18.38,105.38
Dalbir's Pan Shop,2025-07-12,21:58:55,Chocolates,International,Yes,73,20,30.24,101.71
Upkaar's Pan Shop,2025-07-11,02:21:11,Lighters,Local,Yes,47,21,52.81,145.16
Ganga's Pan Shop,2025-08-01,09:43:41,Jelly,Local,No,96,14,31.94,50.53
Manthan's Pan Shop,2025-07-17,20:50:49,Soda,International,Yes,68,65,21.05,404.15
Upkaar's Pan Shop,2025-08-07,15:38:58,Jelly,Local,No,100,7,34.96,31.61
Yashoda's Pan Shop,2025-07-25,07:32:40,Chewing Gum,International,Yes,41,4,24.95,13.45
Yashica's Pan Shop,2025-07-23,15:22:38,Drinks,International,Yes,41,30,42.75,373.2
Ranveer's Pan Shop,2025-08-04,01:42:56,Drinks,Domestic,Yes,30,7,13.28,30.75
Deepa's Pan Shop,2025-07-20,11:24:31,Chewing Gum,Domestic,Yes,95,7,30.29,30.25
Rohan's Pan Shop,2025-07-11,11:10:11,Soanpapdi,Local,No,83,43,23.29,180.66
Lakshmi's Pan Shop,2025-08-06,08:01:38,Chocolates,International,Yes,67,43,51.04,384.62
Chaaya's Pan Shop,2025-08-08,07:20:34,Chips,Domestic,Yes,38,30,29.03,345.76
Rushil's Pan Shop,2025-07-20,16:39:04,Soanpapdi,Local,No,6,1,45.18,5.81
Isaac's Pan Shop,2025-08-09,02:49:25,Chocolates,International,Yes,29,26,4.5,14.41
Yochana's Pan Shop,2025-08-05,16:12:30,Biscuits,Domestic,Yes,7,7,27.62,64.14
Barkha's Pan Shop,2025-08-03,20:18:31,Drinks,Domestic,Yes,77,9,57.67,111.51
Yachana's Pan Shop,2025-07-11,17:36:53,Match Boxes,Local,No,27,25,19.06,88.44
Matthew's Pan Shop,2025-07-13,17:28:41,Sweets,Local,No,56,27,40.74,278.03
Yasti's Pan Shop,2025-07-14,03:28:00,Match Boxes,Local,No,26,14,54.95,282.84
Damyanti's Pan Shop,2025-08-07,23:23:56,Soanpapdi,Local,No,9,5,13.39,23.83
Jeremiah's Pan Shop,2025-07-16,19:41:55,Match Boxes,Local,No,32,28,46.43,478.08
Banjeet's Pan Shop,2025-07-17,03:36:12,Biscuits,International,Yes,31,30,57.5,621.04
Orinder's Pan Shop,2025-07-14,22:56:40,Chips,International,Yes,15,11,22.92,29.23
Max's Pan Shop,2025-08-02,19:42:26,Biscuits,Domestic,Yes,16,4,28.89,17.25
Damyanti's Pan Shop,2025-07-29,09:17:29,Chewing Gum,Domestic,Yes,72,38,46.22,394.27
Mekhala's Pan Shop,2025-07-14,03:07:41,Sweets,Local,No,46,12,6.05,9.65
Triveni's Pan Shop,2025-08-06,07:00:23,Lighters,Local,Yes,97,53,56.73,1174.28
Osha's Pan Shop,2025-07-23,17:39:28,Peanuts,Local,No,26,18,35.45,252.39
Harrison's Pan Shop,2025-08-05,03:18:21,Soda,Domestic,Yes,39,19,15.16,38.88
Indira's Pan Shop,2025-07-11,20:24:24,Cigarettes,International,Yes,17,13,51.37,223.44
Jeevika's Pan Shop,2025-07-28,09:39:01,Chocolates,International,Yes,65,5,50.58,33.34
Wishi's Pan Shop,2025-07-21,21:12:22,Drinks,International,Yes,71,60,58.47,760.85
Osha's Pan Shop,2025-07-29,21:06:36,Jelly,Local,No,51,3,52.05,50.32
Bhavna's Pan Shop,2025-08-08,02:50:10,Chips,Domestic,Yes,30,2,6.19,1.73
Xavier's Pan Shop,2025-08-06,20:47:54,Soda,International,Yes,71,53,16.16,309.1
Harrison's Pan Shop,2025-08-05,05:27:16,Mysorepak,Local,No,36,31,51.74,470.11
Tamanna's Pan Shop,2025-07-13,18:19:56,Peanuts,Local,No,61,33,44.05,321.64
Nathaniel's Pan Shop,2025-07-16,18:12:41,Peanuts,Local,No,32,24,26.21,118.75
Orinder's Pan Shop,2025-07-26,18:34:13,Biscuits,International,Yes,41,21,57.74,269.02
Yasti's Pan Shop,2025-08-06,04:18:00,Peanuts,Local,No,5,1,48.87,7.22
Triya's Pan Shop,2025-07-13,15:28:24,Soda,Domestic,Yes,42,31,58.78,238.64
Umang's Pan Shop,2025-08-02,10:56:08,Cigarettes,International,Yes,70,65,34.3,593.8
Yauvani's Pan Shop,2025-07-14,08:12:12,Jelly,Local,No,68,22,9.56,28.94
Wyatt's Pan Shop,2025-08-05,06:17:31,Lighters,Local,Yes,98,23,27.99,136.75
Zayan's Pan Shop,2025-08-06,02:07:52,Chewing Gum,International,Yes,55,45,26.92,394.71
Bhavna's Pan Shop,2025-07-25,18:47:38,Match Boxes,Local,No,49,2,22.1,10.18
Andrew's Pan Shop,2025-08-01,22:54:54,Soda,International,Yes,34,29,44.61,464.52
Banjeet's Pan Shop,2025-07-16,17:15:08,Peanuts,Local,No,6,6,23.1,32.69
Sneha's Pan Shop,2025-07-19,11:56:24,Lighters,Local,Yes,6,6,42.15,74.66
Ekbal's Pan Shop,2025-07-18,07:30:32,Lighters,Local,Yes,80,65,56.84,551.39
Raagini's Pan Shop,2025-08-04,00:32:54,Mysorepak,Local,No,98,48,10.38,173.87
Nathan's Pan Shop,2025-07-26,01:30:14,Match Boxes,Local,No,85,73,42.35,452.44
Faras's Pan Shop,2025-07-24,21:23:29,Cigarettes,Domestic,Yes,30,23,11.38,42.53
Robert's Pan Shop,2025-08-02,09:37:51,Biscuits,International,Yes,66,16,20.92,67.56
Frederick's Pan Shop,2025-07-23,03:04:21,Soanpapdi,Local,No,16,3,45.73,44.1
Faqid's Pan Shop,2025-07-11,09:25:09,Soanpapdi,Local,No,42,10,40.09,120.3
Kashish's Pan Shop,2025-07-15,17:30:56,Chocolates,International,Yes,14,10,22.75,47.25
Christopher's Pan Shop,2025-07-11,08:18:35,Match Boxes,Local,No,26,20,28.24,117.28
Upkaar's Pan Shop,2025-07-11,17:04:31,Jelly,Local,No,36,19,14.42,108.04
Nathan's Pan Shop,2025-07-13,12:26:31,Peanuts,Local,No,89,26,23.05,188.81
Onveer's Pan Shop,2025-07-12,10:52:46,Drinks,International,Yes,11,10,30.01,90.4
Jasmit's Pan Shop,2025-07-29,22:26:53,Chewing Gum,International,Yes,69,30,9.13,30.77
Siya's Pan Shop,2025-07-25,20:17:40,Lighters,Local,Yes,46,42,38.36,640.07
Yatin's Pan Shop,2025-07-23,07:26:28,Soanpapdi,Local,No,22,4,54.34,47.5
Ganga's Pan Shop,2025-07-24,09:16:30,Soanpapdi,Local,No,12,3,24.37,23.3
Victor's Pan Shop,2025-07-31,08:57:07,Mysorepak,Local,No,100,10,11.09,32.23
Vyanjana's Pan Shop,2025-08-01,15:18:33,Sweets,Local,No,44,17,42.82,215.32
Chaaya's Pan Shop,2025-08-02,06:09:29,Peanuts,Local,No,88,48,16.47,150.5
Vyanjana's Pan Shop,2025-08-05,12:20:21,Peanuts,Local,No,45,1,14.19,4.09
Rachana's Pan Shop,2025-07-19,12:17:38,Jelly,Local,No,39,28,41.79,148.52
Rachit's Pan Shop,2025-07-24,03:19:15,Drinks,International,Yes,62,7,17.55,22.49
Neha's Pan Shop,2025-08-06,15:21:29,Biscuits,Domestic,Yes,68,61,40.72,543.18
Ganga's Pan Shop,2025-08-06,05:14:39,Cigarettes,Domestic,Yes,26,16,31.01,88.55
Wakeeta's Pan Shop,2025-08-05,16:14:41,Soanpapdi,Local,No,73,10,37.06,93.99
Robert's Pan Shop,2025-08-09,02:44:33,Biscuits,International,Yes,72,27,6.72,50.26
Charita's Pan Shop,2025-07-29,03:38:33,Biscuits,International,Yes,33,15,18.29,57.88
Nathaniel's Pan Shop,2025-07-13,08:20:16,Match Boxes,Local,No,79,11,42.31,96.42
Ganga's Pan Shop,2025-07-31,11:35:19,Drinks,Domestic,Yes,17,3,32.39,34.35
Anamika's Pan Shop,2025-08-08,03:40:27,Match Boxes,Local,No,24,13,18.05,77.38
Yachana's Pan Shop,2025-07-11,07:55:38,Cigarettes,Domestic,Yes,69,17,49.15,126.13
Ojasvi's Pan Shop,2025-07-30,11:03:40,Sweets,Local,No,32,5,7.23,14.43
Maya's Pan Shop,2025-07-21,03:13:12,Chewing Gum,International,Yes,31,27,19.4,100.8
Umang's Pan Shop,2025-08-04,19:35:32,Sweets,Local,No,64,49,35.46,379.03
Chatresh's Pan Shop,2025-07-19,13:13:30,Sweets,Local,No,84,61,33.73,531.62
Pranav's Pan Shop,2025-07-17,19:06:11,Chewing Gum,International,Yes,23,14,20.57,39.8
Yatin's Pan Shop,2025-07-19,10:03:23,Lighters,Local,Yes,61,1,59.58,23.79
Chatresh's Pan Shop,2025-07-22,23:12:27,Peanuts,Local,No,49,37,4.05,53.1
Devika's Pan Shop,2025-07-24,22:11:36,Cigarettes,Domestic,Yes,64,5,59.13,43.04
Noah's Pan Shop,2025-08-05,04:22:27,Jelly,Local,No,38,10,5.14,10.73
Manbir's Pan Shop,2025-07-19,07:32:03,Chocolates,Domestic,Yes,52,30,46.53,297.11
Amruta's Pan Shop,2025-07-27,00:06:35,Sweets,Local,No,98,34,21.66,180.27
Jagrati's Pan Shop,2025-07-21,07:23:58,Drinks,International,Yes,47,23,2.83,22.72
Wakeeta's Pan Shop,2025-07-24,11:39:50,Mysorepak,Local,No,45,38,43.57,488.16
Ayushman's Pan Shop,2025-07-25,12:54:54,Chocolates,Domestic,Yes,42,6,7.67,13.01
Oliver's Pan Shop,2025-07-12,19:01:33,Lighters,Local,Yes,28,5,15.46,8.59
Rehaan's Pan Shop,2025-07-28,07:43:17,Lighters,Local,Yes,52,39,25.2,154.2
Harish's Pan Shop,2025-07-31,10:37:48,Chips,Domestic,Yes,5,2,17.74,5.29
Vidhi's Pan Shop,2025-07-25,20:17:23,Mysorepak,Local,No,43,27,25.42,252.96
Bhavna's Pan Shop,2025-07-24,02:43:11,Biscuits,Domestic,Yes,20,11,14.98,26.77
Pallavi's Pan Shop,2025-07-31,20:53:37,Lighters,Local,Yes,59,13,43.42,115.24
Eesha's Pan Shop,2025-07-21,07:40:32,Sweets,Local,No,53,10,32.46,87.07
Bakhshi's Pan Shop,2025-07-26,18:20:52,Chewing Gum,International,Yes,13,9,45.22,146.05
Noah's Pan Shop,2025-07-27,06:45:14,Soanpapdi,Local,No,45,31,2.82,27.58
Ekavir's Pan Shop,2025-07-31,09:17:42,Chewing Gum,Domestic,Yes,86,59,42.38,444.94
Harsh's Pan Shop,2025-08-05,03:41:34,Chocolates,International,Yes,9,8,53.71,155.73
Faras's Pan Shop,2025-07-12,16:03:01,Peanuts,Local,No,66,34,51.78,228.82
Yasti's Pan Shop,2025-08-09,03:19:06,Lighters,Local,Yes,22,21,2.95,15.48
Kiaan's Pan Shop,2025-07-15,20:55:19,Mysorepak,Local,No,100,100,29.89,642.52
Zayan's Pan Shop,2025-07-31,17:16:09,Chewing Gum,International,Yes,80,72,18.15,241.77
Damyanti's Pan Shop,2025-07-17,20:29:11,Mysorepak,Local,No,91,78,48.52,849.66
Osha's Pan Shop,2025-07-12,11:46:53,Chewing Gum,Domestic,Yes,20,7,26.85,69.18
Veda's Pan Shop,2025-07-15,14:52:18,Soanpapdi,Local,No,30,1,32.04,4.32
Samarth's Pan Shop,2025-08-07,19:01:38,Jelly,Local,No,99,9,41.95,141.16
Advika's Pan Shop,2025-08-09,07:14:11,Drinks,International,Yes,83,42,45.93,448.26
Ekbal's Pan Shop,2025-07-16,03:54:07,Mysorepak,Local,No,8,3,7.47,6.86
Siddharth's Pan Shop,2025-08-08,06:56:23,Chocolates,International,Yes,31,28,6.79,66.3
Vaishnavi's Pan Shop,2025-07-19,16:30:47,Match Boxes,Local,No,43,25,15.51,66.74
Viraj's Pan Shop,2025-07-30,08:16:23,Lighters,Local,Yes,94,41,51.21,613.35
Sudiksha's Pan Shop,2025-07-15,11:30:19,Match Boxes,Local,No,6,1,25.81,3.5
Ganga's Pan Shop,2025-07-11,21:20:33,Cigarettes,Domestic,Yes,44,8,27.99,68.52
Luke's Pan Shop,2025-08-09,14:40:59,Drinks,Domestic,Yes,22,18,4.66,23.71
Hemani's Pan Shop,2025-07-16,20:53:57,Soanpapdi,Local,No,28,26,29.28,155.32
Ojasvi's Pan Shop,2025-08-03,04:03:08,Lighters,Local,Yes,74,6,57.45,87.48
Aarna's Pan Shop,2025-07-19,14:27:45,Biscuits,Domestic,Yes,98,73,44.55,972.89
Jason's Pan Shop,2025-07-19,22:25:22,Soda,Domestic,Yes,68,55,13.99,231.09
Yochana's Pan Shop,2025-07-21,00:23:33,Chips,International,Yes,94,81,26.34,699.97
William's Pan Shop,2025-07-11,01:53:33,Drinks,International,Yes,13,10,3.72,5.16
Ganga's Pan Shop,2025-07-15,16:47:00,Match Boxes,Local,No,21,4,51.82,42.76
Sanaya's Pan Shop,2025-07-27,21:02:54,Drinks,International,Yes,90,49,51.9,341.19
Upma's Pan Shop,2025-07-24,10:08:48,Soanpapdi,Local,No,39,7,20.93,50.12
Hemal's Pan Shop,2025-07-21,13:17:27,Peanuts,Local,No,76,73,45.6,885.03
Qabil's Pan Shop,2025-07-26,09:17:57,Chocolates,International,Yes,37,17,6.48,18.27
Harish's Pan Shop,2025-07-24,01:50:36,Peanuts,Local,No,100,43,12.26,160.67
Yochana's Pan Shop,2025-08-01,16:35:00,Lighters,Local,Yes,95,26,10.17,43.36
Hemani's Pan Shop,2025-07-12,16:35:37,Sweets,Local,No,45,29,29.71,118.42
Turvi's Pan Shop,2025-07-20,01:03:06,Chewing Gum,Domestic,Yes,21,11,42.54,100.49
Xavier's Pan Shop,2025-07-18,10:59:04,Match Boxes,Local,No,14,14,38.35,145.09
Deepa's Pan Shop,2025-07-30,00:45:18,Sweets,Local,No,75,29,11.98,74.99
Sudiksha's Pan Shop,2025-07-30,04:21:07,Chocolates,International,Yes,22,15,45.05,216.2
Faqid's Pan Shop,2025-07-27,04:49:38,Cigarettes,International,Yes,82,41,27.52,184.33
Joshua's Pan Shop,2025-08-03,21:05:29,Drinks,Domestic,Yes,36,9,54.31,123.42
Warinder's Pan Shop,2025-07-25,02:04:02,Cigarettes,International,Yes,36,10,5.76,16.79
Gaurangi's Pan Shop,2025-07-31,06:10:53,Soanpapdi,Local,No,18,18,20.53,134.73
Janya's Pan Shop,2025-07-26,19:29:10,Lighters,Local,Yes,91,46,9.05,72.71
Hemani's Pan Shop,2025-07-21,12:01:07,Chocolates,Domestic,Yes,69,15,59.7,320.32
Vrinda's Pan Shop,2025-07-22,03:13:54,Soanpapdi,Local,No,38,23,18.03,126.92
Eesha's Pan Shop,2025-08-07,04:59:57,Sweets,Local,No,13,3,50.01,37.25
Karan's Pan Shop,2025-07-31,22:25:12,Drinks,Domestic,Yes,89,17,24.25,98.34
Andrew's Pan Shop,2025-08-02,04:24:47,Mysorepak,Local,No,46,12,39.66,169.49
Qabil's Pan Shop,2025-07-29,05:21:26,Soanpapdi,Local,No,45,1,15.72,5.0
Lavanya's Pan Shop,2025-07-28,15:38:29,Chocolates,International,Yes,7,1,20.42,3.76
Faqid's Pan Shop,2025-08-07,04:36:28,Soanpapdi,Local,No,64,35,38.22,193.7
Yashoda's Pan Shop,2025-08-06,18:53:55,Biscuits,Domestic,Yes,87,42,41.38,272.65
Ayushman's Pan Shop,2025-08-06,10:47:02,Cigarettes,International,Yes,15,11,48.89,172.92
Kiaan's Pan Shop,2025-08-03,14:53:53,Jelly,Local,No,52,44,27.14,232.16
Tamanna's Pan Shop,2025-07-12,00:52:12,Sweets,Local,No,42,34,2.17,26.72
Harish's Pan Shop,2025-07-27,22:12:56,Biscuits,Domestic,Yes,65,61,45.59,312.29
Harrison's Pan Shop,2025-08-07,19:21:05,Chewing Gum,Domestic,Yes,23,15,52.86,269.22
Siya's Pan Shop,2025-07-22,05:11:55,Match Boxes,Local,No,24,1,21.6,5.88
Jai's Pan Shop,2025-07-16,11:53:35,Chocolates,International,Yes,54,41,54.56,716.16
Manya's Pan Shop,2025-07-27,18:46:52,Mysorepak,Local,No,67,60,43.27,1024.95
Falan's Pan Shop,2025-08-06,06:23:18,Mysorepak,Local,No,41,35,43.77,372.38
Ojasvi's Pan Shop,2025-07-21,01:35:33,Lighters,Local,Yes,74,73,4.0,86.48
Rushil's Pan Shop,2025-07-14,04:08:39,Cigarettes,International,Yes,16,10,16.45,55.34
Yatin's Pan Shop,2025-08-04,02:15:49,Jelly,Local,No,43,24,40.06,247.82
Amruta's Pan Shop,2025-08-08,06:32:59,Cigarettes,Domestic,Yes,18,16,35.72,120.18
Ekalinga's Pan Shop,2025-07-23,12:55:45,Chewing Gum,International,Yes,15,9,48.21,55.09
Luke's Pan Shop,2025-07-24,06:07:26,Jelly,Local,No,22,22,53.61,184.67
Vrinda's Pan Shop,2025-07-12,03:05:30,Chewing Gum,Domestic,Yes,42,17,46.41,288.24
Gaurav's Pan Shop,2025-07-13,05:02:50,Cigarettes,Domestic,Yes,82,69,25.25,514.98
Aarna's Pan Shop,2025-07-28,11:14:30,Chocolates,Domestic,Yes,57,42,4.3,66.62
Ganga's Pan Shop,2025-07-27,08:10:45,Drinks,Domestic,Yes,54,45,14.89,198.61
Samesh's Pan Shop,2025-08-01,16:18:29,Chips,Domestic,Yes,89,59,32.69,478.82
Samarth's Pan Shop,2025-07-18,11:29:56,Peanuts,Local,No,22,21,9.3,72.68
Jairaj's Pan Shop,2025-07-30,12:27:21,Peanuts,Local,No,30,29,45.46,457.85
Quincy's Pan Shop,2025-07-21,15:59:09,Lighters,Local,Yes,96,7,13.42,35.87
Yamini's Pan Shop,2025-08-06,16:21:17,Chocolates,Domestic,Yes,50,22,44.89,336.62
Yasti's Pan Shop,2025-07-30,07:44:09,Chocolates,Domestic,Yes,47,1,8.52,3.19
Manya's Pan Shop,2025-07-29,04:10:23,Biscuits,International,Yes,9,4,29.51,19.93
Nandini's Pan Shop,2025-08-07,17:39:25,Sweets,Local,No,49,47,36.57,551.61
Aarna's Pan Shop,2025-07-19,18:14:49,Jelly,Local,No,83,38,43.69,260.17
Zehaan's Pan Shop,2025-07-22,05:51:27,Mysorepak,Local,No,71,17,41.8,76.72
Maya's Pan Shop,2025-07-20,06:13:09,Soda,Domestic,Yes,70,60,55.18,1190.66
Pranav's Pan Shop,2025-07-11,17:04:50,Soanpapdi,Local,No,82,67,39.13,307.28
Ikbal's Pan Shop,2025-07-31,21:58:34,Lighters,Local,Yes,56,3,26.89,19.93
Vedhika's Pan Shop,2025-07-11,09:11:30,Soda,Domestic,Yes,63,39,32.65,357.35
Avni's Pan Shop,2025-08-09,18:51:34,Lighters,Local,Yes,44,41,19.95,304.61
Balvan's Pan Shop,2025-07-31,05:45:19,Chips,International,Yes,82,25,45.31,365.67
Bhavya's Pan Shop,2025-08-08,13:33:08,Drinks,International,Yes,45,44,10.56,52.71
Meghana's Pan Shop,2025-07-28,21:56:28,Match Boxes,Local,No,84,63,28.21,261.09
